yrbp,co2
669774,185.5
670199,189.3
670939,192.6
671309,194.6
671949,192.5
672409,194.8
673118,198.7
673498,202.3
674196,209.2
674544,213.7
675612,220
676193,217.4
676547,214
677091,215.6
677403,217.4
678007,226.5
678314,230
678937,230.8
679275,230.3
679755,223
680104,225
680631,218.4
680943,216.2
681554,217.3
681872,219.7
682469,222.6
682785,221.3
683285,218.7
683635,217.5
684165,217.5
684442,219.4
684972,219.5
685240,219.7
685739,223.5
686003,224.4
686448,224.3
686749,227.3
687250,228.7
687493,228.8
687972,232.3
688218,233
688675,235.8
688904,234.9
689327,235.8
689626,239.9
690080,235.6
690317,234.8
690794,240
691022,234
691455,235.6
691695,236.6
692080,235.5
692361,235.9
692788,232.9
693013,234.8
693456,234.1
693662,234.1
694091,235.4
694323,234.4
694695,235.8
694964,236.9
695406,236.7
695641,237.6
696085,234.6
696310,234.8
696740,235.4
696986,232.9
697354,232.4
697683,232.2
698143,231
698409,228
698903,226.4
699125,227.7
699656,227.6
699932,226
700412,228.7
700767,227.6
701265,228.2
701629,228.8
702181,229.3
702404,230.3
703011,232.4
703407,232.8
703957,231.2
704234,231.2
704996,233.9
705433,228.5
706164,228.6
706432,228.1
709703,219.7
710260,220.2
711127,218.9
711444,218.7
712856,218.5
713866,222.3
714311,221.7
715203,217.7
715773,222.1
716727,208.1
717088,205
718087,192.9
718802,184.3
719817,187.8
720360,195.2
721341,206.3
722062,211.3
723156,213.4
723487,213.2
724468,210.3
725082,206.3
725960,206.6
726345,208.1
727215,204.5
727755,205.5
728591,205.1
728944,205.4
730322,204
730972,204.1
731352,204.9
732164,203.8
732571,205.9
733284,203.9
733566,204.4
734246,205.3
734627,207.4
735190,201.7
735482,201.3
736102,204.1
736483,209.7
737057,208.1
737289,211.3
737912,210.6
738295,206.5
738867,200.3
739160,197.8
739865,185
740300,178.9
741044,178.6
741330,176.6
742098,177.9
742581,182.3
743256,181.7
743612,180.4
744377,181.2
744866,182
745859,180.2
746666,183.1
747133,180.8
747782,180.8
748124,180.4
748936,181.4
749424,182.9
750217,184.8
750499,184
751324,186.2
751853,190.1
752628,188
753001,196.5
754007,191.5
754417,195.8
755264,200.5
755518,201.9
756380,206
756894,210.7
757584,215
757985,219.2
758282,215.3
758498,217.6
758906,217.9
759329,214.9
760225,208.8
760523,206.9
761476,206.1
762087,212
762894,216
763342,215
763709,225.7
763957,221.4
764272,224.1
764856,222.6
765758,216.8
766133,215.7
767119,213.5
767760,217.7
768678,222.4
769073,221.4
769537,228.1
769810,226
770156,231.5
770470,235.6
770747,238.2
771017,235.6
771283,237.7
771731,229.5
772099,230.9
773066,230
773703,233.3
774571,236.9
775074,240.5
776060,238.8
776659,243.9
777579,246.3
777923,246.1
778821,245.8
779387,243.9
780291,248.5
780635,242.8
781558,248.7
782082,246.2
783286,252.1
784170,246.9
784715,250.7
785436,253.3
785812,255.4
786610,260.3
787099,256.9
787828,248.1
788056,247.9
788910,229.5
789404,226.3
790176,218.2
790561,221.3
791514,215.4
792104,205.1
792966,204
793283,209
794631,199.4
795225,195.2
796490,189.3
797122,188.4
798535,191
